company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
1702,11524758.0,11524758.0,11524758.0,11524758.0,24124758.0,24124758.0,24124758.0,24124758.0,24124758.0,24124758.0,24124758.0,24124758.0,30124758.0,30124758.0,30124758.0,30124758.0,46124758.0,60124758.0
1703,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10831000.0,28932322.0,28932322.0,28932322.0,28932322.0,28932322.0,28932322.0,28932322.0
1704,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,74500000.0,82500000.0,82500000.0,94900000.0,94900000.0,94900000.0
1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
1706,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,577000.0,677000.0,677000.0,677000.0,927000.0,927000.0,927000.0,927000.0
1707,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,655000.0,1405000.0,1405000.0,1405000.0,1405000.0,1405000.0,1405000.0,1405000.0
1708,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,4291200.0,9491200.0,9491200.0,9491200.0
1709,540000.0,540000.0,540000.0,540000.0,540000.0,540000.0,540000.0,540000.0,540000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0
1710,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,1539315.0,4539315.0,4539315.0,4539315.0
1711,1516840.0,1516840.0,1516840.0,1516840.0,1516840.0,1516840.0,1516840.0,1516840.0,2692517.0,3697856.0,3697856.0,6939572.0,6939572.0,10770626.0,17310021.0,19317025.0,19317025.0,24374444.0
